Time (Years),Enterprise_A_Production,Enterprise_B_Production
0.0,50.0,60.0
0.05,51.44832090695313,61.38535043273778
0.1,52.881509518169835,62.7562264956407
0.15000000000000002,54.29975226031009,64.11280650986181
0.2,55.70323279819394,65.4552661547942
0.25,57.092132083280504,66.7837785144422
0.30000000000000004,58.46662840116788,68.0985141228562
0.35000000000000003,59.82689741813618,69.39964100865197
0.4,61.17311222675555,70.68732473863571
0.45,62.50544339057993,71.9617284605547
0.5,63.82405898794725,73.22301294499299
0.55,65.12912465490622,74.47133662643202
0.6000000000000001,66.42080362728925,75.70685564349407
0.65,67.69925678195037,76.92972387838728
0.7000000000000001,68.96464267718694,78.14009299557009
0.75,70.21711759236338,79.33811247965193
0.8,71.45683556675438,80.52392967254767
0.8500000000000001,72.68394843762502,81.6976898099022
0.9,73.89860587756459,82.85953605680092
0.9500000000000001,75.1009554310906,84.00960954278231
1.0,76.2911425505389,85.14804939616765
1.05,77.46931063125575,86.27499277772287
1.1,78.63560104610686,87.39057491366741
1.1500000000000001,79.79015317931848,88.49492912804374
1.2000000000000002,80.93310445966512,89.58818687446228
1.25,82.06459039301782,90.67047776723444
1.3,83.1847445942671,91.74192961190768
1.35,84.29369881863407,92.80266843521522
1.4000000000000001,85.39158299238264,93.85281851445296
1.4500000000000002,86.4785252429461,94.89250240629627
1.5,87.55465192848027,95.92184097506806
1.55,88.6200876668558,96.94095342047069
1.6,89.6749553641014,97.94995730479258
1.6500000000000001,90.71937624230978,98.94896857960063
1.7000000000000002,91.75346986701786,99.93810161193007
1.75,92.7773541740719,100.91746920998176
1.8,93.79114549598935,101.88718264833759
1.85,94.79495858782701,102.84735169270404
1.9000000000000001,95.78890665256678,103.79808462419422
1.9500000000000002,96.7731013660285,104.73948826315758
2.0,97.74765290132035,105.67166799256717
2.0500000000000003,98.712669952836,106.59472778097344
2.1,99.66825975980827,107.50877020503384
2.15,100.61452812942835,108.41389647162696
2.2,101.55157945954002,109.31020643955986
2.25,102.47951676091697,110.19779864087693
2.3000000000000003,103.39844167913253,111.07677030177875
2.35,104.30845451602994,111.9472173631589
2.4000000000000004,105.20965425080132,112.80923450076634
2.45,106.10213856068344,113.66291514500139
2.5,106.98600384127825,114.50835150035294
2.5500000000000003,107.86134522650575,115.3456345644836
2.6,108.72825660819679,116.17485414697069
2.6500000000000004,109.58683065533292,116.99609888770954
2.7,110.43715883294067,117.80945627498653
2.75,111.27933142064737,118.61501266322773
2.8000000000000003,112.11343753090503,119.41285329043073
2.85,112.93956512688916,120.20306229528512
2.9000000000000004,113.75780104007922,120.98572273398867
2.95,114.56823098752665,121.7609165967645
3.0,115.3709395888175,122.5287248240862
3.0500000000000003,116.16601038273491,123.28922732261586
3.1,116.95352584362799,124.04250298086144
3.1500000000000004,117.73356739749296,124.78862968455842
3.2,118.50621543777183,125.5276843317817
3.25,119.2715493408747,126.25974284779318
3.3000000000000003,120.02964748143096,126.9848801996296
3.35,120.78058724727454,127.70317041043656
3.4000000000000004,121.52444505416896,128.41468657355296
3.45,122.26129636027675,129.11950086635176
3.5,122.99121568037862,129.81768456384052
3.5500000000000003,123.71427659984705,130.50930805202768
3.6,124.43055178837928,131.19444084105854
3.6500000000000004,125.14011301349444,131.8731515781252
3.7,125.8430311537989,132.54550806015556
3.75,126.53937621202516,133.21157724628506
3.8000000000000003,127.22921732784792,133.8714252701155
3.85,127.91262279048219,134.5251174517657
3.9000000000000004,128.58966005106709,135.17271830971646
3.95,129.26039573484007,135.81429157245583
4.0,129.92489565310507,136.44990018992667
4.05,130.5832248149988,137.07960634478152
4.1000000000000005,131.23544743905927,137.70347146344812
4.15,131.8816269645996,138.32155622700844
4.2,132.52182606289148,138.9339205818963
4.25,133.15610664816168,139.5406237504156
4.3,133.7845298884052,140.1417242410833
4.3500000000000005,134.40715621601828,140.73727985880015
4.4,135.02404533825535,141.327347714853
4.45,135.63525624751202,141.9119842367507
4.5,136.2408472314388,142.49124517789807
4.55,136.84087588288776,143.06518562711008
4.6000000000000005,137.43539910969534,143.6338600179695
4.65,138.02447314430515,144.19732213803104
4.7,138.6081535532325,144.75562513787457
4.75,139.18649524637476,145.30882154001068
4.800000000000001,139.75955248616978,145.8569632476407
4.8500000000000005,140.32737889660507,146.40010155327445
4.9,140.89002747208121,146.93828714720811
4.95,141.44755058613129,147.47157012586473
5.0,142.0,148.0
